Research_paper,Question,Chunking Overlap,answer_relevancy,faithfulness,answer_correctness
1,1,90,,,
1,1,120,,,
1,1,150,,,
1,1,180,,,
1,1,210,,,
2,1,90,0.9511643349601306,1.0,0.7576429967404007
2,1,120,0.9565783510527321,1.0,0.3770449524985457
2,1,150,0.9678307077174155,1.0,0.2879050760733018
2,1,180,0.9565783510527321,1.0,0.28457517879764543
2,1,210,0.9544560815184435,1.0,0.4185100642380157
2,2,90,0.9612103837356099,0.9523809523809523,0.4436972450621411
2,2,120,0.9468499650320589,0.8,0.4774949460986777
2,2,150,0.9702052739668675,0.8333333333333334,0.7359043428843293
2,2,180,0.9693291468110237,0.8260869565217391,0.6498767366163961
2,2,210,0.950878996626922,0.7368421052631579,0.6941630273528545
2,3,90,0.9514081143689318,1.0,0.49331002106889776
2,3,120,0.947415018324095,0.9583333333333334,0.27323755625849944
2,3,150,0.9765560615079057,0.9583333333333334,0.4407802105662231
2,3,180,0.9847171610280893,1.0,0.3102263558686408
2,3,210,0.9454496307111399,1.0,0.5115455702582477
