Research_paper,Question,Chunking Overlap,answer_relevancy,faithfulness,answer_correctness
1,1,90,,,
1,1,120,,,
1,1,150,,,
1,1,180,,,
1,1,210,,,
2,1,90,0.9082930945957993,1.0,0.7459583322333004
2,1,120,0.8970324806620914,1.0,0.5164996605012715
2,1,150,0.8739854193832864,1.0,0.4581506968504829
2,1,180,0.8572807417084549,1.0,0.5156422107898282
2,1,210,0.8773991242679714,0.9565217391304348,0.35869050909003
2,2,90,0.9521080275923443,1.0,0.706882952112508
2,2,120,0.9764064145474353,1.0,0.7365961646080641
2,2,150,0.9734073420442979,1.0,0.6008922991694403
2,2,180,0.9864538943919691,0.9166666666666666,0.6682493351388927
2,2,210,0.9774938866196404,1.0,0.5693852252781091
2,3,90,0.9508639128824944,1.0,0.6386313301059163
2,3,120,0.9510223123021151,1.0,0.8438777549041219
2,3,150,0.9508639128824944,1.0,0.7178145011977116
2,3,180,0.9508639128824944,1.0,0.7122557327036839
2,3,210,0.9599255669717495,1.0,0.7307308571342628
