Research_paper,Question,Chunking Size,answer_relevancy,faithfulness,answer_correctness
1,1,900,,,
1,1,1200,,,
1,1,1500,,,
1,1,1800,,,
1,1,2100,,,
2,1,900,0.86011302165722,1.0,0.4920228831468919
2,1,1200,0.9071722085686231,0.8888888888888888,0.39733341247043386
2,1,1500,0.8585585155436516,1.0,0.6055468279320626
2,1,1800,0.8738650910279493,1.0,0.6540375789491732
2,1,2100,0.9288298482730231,1.0,0.46759853961525044
2,2,900,0.9733998914479158,1.0,0.7240737592241485
2,2,1200,0.9733998914479158,1.0,0.4239060374722258
2,2,1500,0.9733998914479158,1.0,0.6577422867402934
2,2,1800,0.9732479230262518,1.0,0.5913226560747555
2,2,2100,0.9719877248920252,1.0,0.6560519033146776
2,3,900,0.8821651260705018,0.8,0.9572629096384684
2,3,1200,0.9298089604256333,1.0,0.7800720206159043
2,3,1500,0.9510223123021151,1.0,0.8753698256497757
2,3,1800,0.9508326619879286,0.96,0.7027654508658066
2,3,2100,0.9079869177169616,0.7142857142857143,0.6439272195548772
